mPMT,X,Y,Z
56.0,1352.8210935042243,580.0000000000002,560.3568443938509
57.0,1464.283,580.0000000000003,4.265217068422089e-13
58.0,1352.8210935042243,580.0000000000005,-560.3568443938507
59.0,1035.4044388761815,580.0000000000005,-1035.404438876181
60.0,560.3568443938508,580.0000000000005,-1352.8210935042243
61.0,2.0312795040113564e-14,580.0000000000003,-1464.283
62.0,-560.3568443938507,580.0000000000002,-1352.821093504224
63.0,-1035.4044388761815,580.0,-1035.404438876181
64.0,-1352.8210935042246,579.9999999999998,-560.3568443938517
65.0,-1464.2830000000004,579.9999999999997,-1.689499651291726e-13
66.0,-1352.8210935042248,579.9999999999995,560.3568443938511
67.0,-1035.4044388761818,579.9999999999995,1035.4044388761815
68.0,-560.3568443938519,579.9999999999997,1352.8210935042248
69.0,-2.2734745871007965e-13,1159.9999999999998,1464.2830000000004
70.0,560.3568443938506,1160.0,1352.8210935042248
71.0,1035.4044388761813,1160.0,1035.4044388761815
72.0,1352.8210935042243,1160.0,560.356844393851
73.0,1464.283,1160.0000000000002,5.55307577698727e-13
74.0,1352.8210935042243,1160.0000000000005,-560.3568443938506
75.0,1035.4044388761815,1160.0000000000005,-1035.404438876181
76.0,560.3568443938507,1160.0000000000005,-1352.8210935042243
77.0,-1.084730758164046e-13,1160.0000000000002,-1464.283
78.0,-560.3568443938508,1160.0,-1352.821093504224
79.0,-1035.4044388761815,1160.0,-1035.404438876181
80.0,-1352.8210935042246,1160.0,-560.3568443938516
81.0,-1464.2830000000004,1159.9999999999998,-4.0164094272654447e-14
82.0,-1352.8210935042248,1159.9999999999995,560.3568443938512
83.0,-1035.4044388761818,1159.9999999999995,1035.4044388761815
84.0,-560.356844393852,1159.9999999999998,1352.8210935042248
85.0,2.4576325492541052e-14,1708.2,-5.480060849549772e-14
86.0,5.480060849549773e-14,1708.1999999999998,580.0
87.0,580.0,1708.2,580.0
88.0,580.0,1708.2,-8.502489149845441e-14
89.0,580.0,1708.2000000000003,-580.0
90.0,5.4800608495497736e-14,1708.2,-580.0
91.0,-580.0,1708.2,-580.0
92.0,-580.0,1708.1999999999998,-8.502489149845441e-14
93.0,-580.0,1708.1999999999998,580.0
94.0,5.480060849549773e-14,1708.1999999999998,1160.0
95.0,580.0,1708.1999999999998,1160.0
96.0,1160.0,1708.2,580.0
97.0,1160.0,1715.9750000000004,-8.329849469516229e-14
98.0,1160.0,1708.2000000000003,-580.0
99.0,580.0,1715.9750000000004,-1160.0
100.0,5.4800608495497736e-14,1708.2000000000003,-1160.0
101.0,-580.0,1715.9750000000001,-1160.0
102.0,-1160.0,1708.1999999999998,-580.0
103.0,-1160.0,1715.9749999999997,-8.329849469516229e-14
104.0,-1160.0,1708.1999999999996,580.0
105.0,-580.0,1708.1999999999996,1160.0
