channel,X,Y,Z
0.0,-5.480060849549773e-14,-858.675,5.480060849549773e-14
1.0,-95.29664978896169,-872.9169999999999,3.996777551880362e-14
2.0,-47.64832489448089,-872.9169999999999,82.52931961278979
3.0,47.64832489448074,-872.9169999999999,82.5293196127898
4.0,95.29664978896157,-872.9169999999999,7.497919665885907e-14
5.0,47.6483248944808,-872.9169999999999,-82.52931961278965
6.0,-47.64832489448088,-872.9169999999999,-82.52931961278968
7.0,-182.26603814205217,-914.3989999999999,2.0106242910261932e-14
8.0,-157.84701927816064,-914.3989999999999,91.13301907102608
9.0,-91.13301907102617,-914.3989999999999,157.84701927816062
10.0,-1.0521973738155129e-13,-914.3989999999999,182.26603814205217
11.0,91.13301907102597,-914.3989999999999,157.84701927816067
12.0,157.8470192781606,-914.3989999999999,91.13301907102611
13.0,182.2660381420521,-914.3989999999999,8.7069698971442e-14
14.0,157.84701927816062,-914.3989999999999,-91.13301907102597
15.0,91.1330190710261,-914.3989999999999,-157.84701927816053
16.0,2.0364947520240716e-14,-914.3989999999999,-182.2660381420521
17.0,-91.13301907102614,-914.3989999999999,-157.84701927816056
18.0,-157.8470192781606,-914.3989999999999,-91.13301907102613
19.0,-5.480060849549773e-14,-858.6750000000001,580.0
20.0,-95.29664978896169,-872.917,580.0
21.0,-47.64832489448089,-872.917,662.5293196127898
22.0,47.64832489448074,-872.917,662.5293196127898
23.0,95.29664978896157,-872.917,580.0
24.0,47.6483248944808,-872.917,497.47068038721034
25.0,-47.64832489448088,-872.917,497.47068038721034
26.0,-182.26603814205217,-914.3990000000001,580.0
27.0,-157.84701927816064,-914.3990000000001,671.1330190710261
28.0,-91.13301907102617,-914.3990000000001,737.8470192781606
29.0,-1.0521973738155129e-13,-914.3990000000001,762.2660381420521
30.0,91.13301907102597,-914.399,737.8470192781606
31.0,157.8470192781606,-914.399,671.1330190710261
32.0,182.2660381420521,-914.399,580.0
33.0,157.84701927816062,-914.399,488.86698092897404
34.0,91.1330190710261,-914.399,422.15298072183947
35.0,2.0364947520240716e-14,-914.399,397.7339618579479
36.0,-91.13301907102614,-914.399,422.15298072183947
37.0,-157.8470192781606,-914.399,488.8669809289739
38.0,580.0,-858.675,580.0
39.0,484.7033502110383,-872.9169999999999,580.0
40.0,532.3516751055191,-872.9169999999999,662.5293196127898
41.0,627.6483248944808,-872.9169999999999,662.5293196127898
42.0,675.2966497889616,-872.9169999999999,580.0
43.0,627.6483248944809,-872.9169999999999,497.47068038721034
